Jurisdiccion; Departamento;Nombre Institucion;Estado_ETP;Gestion;Matricula_Total;Matricula_Varones;Matricula_Mujeres;ORIENTACION;TIPO INST
San Juan;Valle Fértil;Escuela Agrotécnica  Ejército Argentino;Institución de ETP;Estatal;150;81;69;Agropecuaria;SEC TEC
Santiago del Estero;Choya;Escuela Agrotécnica  Escuela Agrotécnica Frías;Institución de ETP;Estatal;117;67;50;Agropecuaria;SEC TEC
Catamarca;Andalgalá;Escuela Agrotécnica  Escuela Agrotécnica Huaco;Institución de ETP;Estatal;44;22;22;Agropecuaria;SEC TEC
Catamarca;Santa Rosa;Escuela Agrotécnica  Escuela Secundaria  Agrotecnica  Alijilán;Institución de ETP;Estatal;71;34;37;Agropecuaria;SEC TEC
Corrientes;Mercedes;Escuela Agrotécnica  Eulogio Cruz Cabral;Institución de ETP;Estatal;69;48;21;Agropecuaria;SEC TEC
Tucumán;Chicligasta;Escuela Agrotécnica  Gastona Sud;Institución de ETP;Estatal;54;30;24;Agropecuaria;SEC TEC
San Juan;Caucete;Escuela Agrotécnica  Gonzalo Alberto Doblas;Institución de ETP;Estatal;80;39;41;Agropecuaria;SEC TEC
La Pampa;Guatraché;Escuela Agrotécnica  Guatraché;Institución de ETP;Estatal;58;37;21;Agropecuaria;SEC TEC
San Juan;Jáchal;Escuela Agrotécnica  Huaco;Institución de ETP;Estatal;45;17;28;Agropecuaria;SEC TEC
Tucumán;Famaillá;Escuela Agrotécnica  Ing. Agr. Jorge Palacios ;Institución de ETP;Estatal;155;87;68;Agropecuaria;SEC TEC
Tucumán;Chicligasta;Escuela Agrotécnica  Ingeniero Ludovico Tusek;Institución de ETP;Estatal;86;56;30;Agropecuaria;SEC TEC
Tucumán;Juan Bautista Alberdi;Escuela Agrotécnica  Juan Bautista Alberdi;Institución de ETP;Estatal;159;102;57;Agropecuaria;SEC TEC
Tucumán;Rio Chico;Escuela Agrotécnica  Juan Mantovani;Institución de ETP;Estatal;250;122;128;Agropecuaria;SEC TEC
